l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
861,154,49,2,4.49,456.39,0.07,0.07,R,F,1998-01-24,1998-01-03,1998-02-17,COLLECT COD,SHIP,blithely carefully unusual blithely express 
861,132,74,3,47.95,3258.38,0.09,0.05,N,F,1998-01-12,1998-01-04,1998-01-16,NONE,FOB,special unusual unusual unusual express slyl
862,369,39,1,37.42,1690.29,0.07,0.04,N,F,1994-04-20,1994-05-05,1994-05-15,DELIVER IN PERSON,RAIL,regular regular unusual special final
862,174,71,2,16.03,1871.03,0.02,0.05,N,F,1994-05-29,1994-05-27,1994-06-08,DELIVER IN PERSON,FOB,unusual special express silent slyly
862,134,81,3,1.41,3046.68,0.1,0.03,N,F,1994-04-16,1994-05-11,1994-05-01,TAKE BACK RETURN,MAIL,quickly regular furiously silent unusual car
863,435,84,1,13.35,125.97,0.0,0.05,A,F,1997-06-08,1997-07-20,1997-07-01,TAKE BACK RETURN,REG AIR,quickly regular final blithely carefully unu
863,492,12,2,8.14,4523.17,0.09,0.0,A,F,1997-05-09,1997-07-03,1997-05-25,NONE,FOB,quickly slyly final unusual
863,352,39,3,38.31,712.43,0.01,0.08,R,F,1997-06-12,1997-06-24,1997-06-29,NONE,FOB,regular special express quickly
864,233,41,1,3.69,3489.61,0.06,0.03,R,F,1993-06-13,1993-07-17,1993-06-18,DELIVER IN PERSON,RAIL,special final regular express silent silent 
864,6,91,2,31.69,2054.23,0.07,0.08,N,F,1993-06-09,1993-07-11,1993-06-23,NONE,MAIL,quickly furiously furiously regular silent b
864,500,31,3,16.52,4492.84,0.09,0.06,A,F,1993-05-12,1993-06-16,1993-05-18,COLLECT COD,SHIP,slyly pending carefully slyly express pendin
865,348,62,1,5.3,3739.1,0.09,0.02,A,F,1997-11-14,1997-11-17,1997-11-23,DELIVER IN PERSON,AIR,carefully silent pending blithely unusual qu
865,16,95,2,33.41,3073.08,0.06,0.04,R,F,1997-12-01,1998-01-09,1997-12-28,COLLECT COD,REG AIR,regular carefully special silent regular
865,126,69,3,36.59,2167.64,0.05,0.01,A,F,1997-11-08,1997-12-03,1997-11-15,TAKE BACK RETURN,RAIL,unusual blithely carefully
866,456,29,1,1.68,4628.37,0.02,0.07,R,F,1993-02-22,1993-03-30,1993-02-24,NONE,RAIL,furiously final special blithely carefully s
866,458,91,2,10.02,2491.39,0.02,0.06,N,F,1993-01-15,1993-02-21,1993-02-08,DELIVER IN PERSON,MAIL,special quickly regular final regular final
866,398,93,3,13.12,4311.59,0.0,0.01,N,F,1993-01-13,1993-03-06,1993-01-24,NONE,FOB,quickly regular final express slyly blithely
867,126,61,1,6.88,4651.84,0.07,0.05,A,F,1997-05-09,1997-05-25,1997-06-06,DELIVER IN PERSON,SHIP,quickly final special slyly pending special
867,411,88,2,49.84,2037.62,0.02,0.01,A,F,1997-04-28,1997-06-22,1997-05-02,NONE,AIR,slyly carefully express final
867,84,82,3,32.02,3262.01,0.01,0.02,R,F,1997-06-13,1997-06-15,1997-06-25,TAKE BACK RETURN,FOB,silent carefully blithely pending quickly si
868,195,54,1,2.25,4291.18,0.01,0.03,A,F,1996-09-13,1996-11-07,1996-09-26,DELIVER IN PERSON,TRUCK,furiously special express final pending
868,436,70,2,34.2,3401.4,0.07,0.06,R,F,1996-09-06,1996-10-04,1996-09-27,NONE,RAIL,furiously regular blithely unusual pending f
868,140,94,3,36.3,1147.73,0.0,0.0,N,F,1996-09-26,1996-10-06,1996-10-04,COLLECT COD,RAIL,pending furiously unusual blithely furiously
869,339,98,1,31.07,639.6,0.03,0.03,A,F,1993-01-31,1993-02-28,1993-02-09,COLLECT COD,TRUCK,unusual regular blithely special unusual
869,261,58,2,43.94,2475.56,0.01,0.01,A,F,1993-02-01,1993-04-10,1993-02-25,NONE,FOB,special quickly carefully regular silent
869,7,8,3,32.97,4659.01,0.06,0.06,A,F,1993-02-07,1993-03-13,1993-02-12,NONE,FOB,quickly unusual unusual blithely carefully
870,355,3,1,11.68,3182.0,0.02,0.01,N,F,1995-05-13,1995-07-07,1995-05-27,DELIVER IN PERSON,AIR,carefully regular blithely express quickly q
870,263,14,2,6.93,250.26,0.07,0.07,N,F,1995-05-28,1995-06-15,1995-05-29,TAKE BACK RETURN,RAIL,regular express unusual furiously express bl
870,374,32,3,18.18,3903.63,0.05,0.02,N,F,1995-04-14,1995-06-29,1995-04-17,DELIVER IN PERSON,SHIP,special unusual furiously quickly unusual un
871,121,94,1,33.35,2445.05,0.08,0.07,A,F,1994-06-02,1994-05-29,1994-06-24,COLLECT COD,RAIL,final quickly special express
871,333,17,2,40.54,3943.44,0.0,0.04,R,F,1994-04-23,1994-05-18,1994-05-23,TAKE BACK RETURN,SHIP,pending quickly pending silent special unusu
871,8,3,3,29.79,2497.23,0.01,0.07,N,F,1994-04-08,1994-06-25,1994-04-14,COLLECT COD,SHIP,quickly express special slyly silent final r
872,108,5,1,11.89,4474.25,0.01,0.04,R,F,1998-01-04,1998-01-25,1998-01-28,DELIVER IN PERSON,MAIL,express unusual pending slyly quickly unusua
872,32,83,2,3.47,3686.74,0.02,0.03,R,F,1997-12-16,1998-01-26,1997-12-17,COLLECT COD,FOB,silent quickly regular
872,94,4,3,9.32,3871.96,0.04,0.0,A,F,1998-02-07,1998-02-27,1998-02-13,NONE,RAIL,unusual silent regular regular pending slyly
873,484,63,1,21.27,170.17,0.07,0.08,R,F,1997-10-18,1997-11-09,1997-11-12,COLLECT COD,AIR,regular unusual regular final
873,500,99,2,13.68,2786.79,0.02,0.05,R,F,1997-10-04,1997-10-25,1997-11-01,COLLECT COD,RAIL,slyly blithely express slyly unusual
873,429,39,3,2.42,1249.51,0.05,0.04,N,F,1997-10-22,1997-11-04,1997-10-28,NONE,MAIL,slyly carefully regular silent blithely quic
874,423,37,1,32.44,2080.24,0.09,0.07,R,F,1993-09-12,1993-09-20,1993-10-05,NONE,AIR,quickly express furiously slyly unusual quic
874,266,60,2,1.73,3106.42,0.07,0.06,N,F,1993-09-03,1993-10-17,1993-10-01,NONE,MAIL,carefully final express pending
874,410,9,3,21.18,2749.22,0.0,0.03,N,F,1993-08-03,1993-09-11,1993-08-14,TAKE BACK RETURN,MAIL,carefully final pending express express slyl
875,476,77,1,34.42,2389.2,0.09,0.05,A,F,1996-05-16,1996-07-27,1996-06-14,TAKE BACK RETURN,TRUCK,unusual unusual special carefully express ex
875,376,88,2,1.13,3644.88,0.05,0.0,R,F,1996-06-16,1996-06-02,1996-07-08,TAKE BACK RETURN,TRUCK,blithely regular blithely special
875,500,58,3,38.08,627.33,0.04,0.02,R,F,1996-05-03,1996-07-25,1996-05-28,COLLECT COD,MAIL,carefully silent silent slyly quickly
876,38,90,1,4.34,1458.8,0.07,0.08,A,F,1996-10-18,1996-11-04,1996-10-20,DELIVER IN PERSON,MAIL,unusual carefully regular pending slyly expr
876,40,72,2,21.18,2272.57,0.09,0.02,A,F,1996-11-06,1996-11-20,1996-11-25,TAKE BACK RETURN,AIR,carefully final final express quickly final
876,231,72,3,24.14,3243.66,0.05,0.03,R,F,1996-10-26,1996-11-06,1996-11-25,DELIVER IN PERSON,REG AIR,blithely regular pending carefully quickly s
877,109,22,1,41.88,3758.8,0.01,0.03,N,F,1998-01-10,1998-03-01,1998-02-03,COLLECT COD,RAIL,special carefully pending carefully blithely
877,91,87,2,27.39,4752.21,0.07,0.04,A,F,1998-01-29,1998-02-24,1998-02-27,TAKE BACK RETURN,MAIL,quickly pending unusual slyly express blithe
877,123,87,3,41.12,1499.26,0.07,0.02,N,F,1997-12-25,1998-03-10,1998-01-06,COLLECT COD,AIR,furiously final slyly slyly express
878,179,9,1,3.94,1330.83,0.08,0.03,N,F,1994-06-24,1994-08-21,1994-07-14,COLLECT COD,FOB,unusual silent pending unusual slyly furious
878,227,8,2,21.55,2285.77,0.06,0.05,A,F,1994-06-22,1994-08-11,1994-07-19,TAKE BACK RETURN,AIR,unusual furiously pending quickly
878,330,6,3,12.49,4366.32,0.03,0.01,N,F,1994-06-23,1994-07-08,1994-07-08,TAKE BACK RETURN,SHIP,furiously pending carefully special carefull
879,81,57,1,38.98,3250.7,0.06,0.02,R,F,1996-04-02,1996-05-18,1996-04-08,DELIVER IN PERSON,REG AIR,slyly blithely regular regular silent final 
879,458,84,2,48.63,3506.06,0.01,0.03,A,F,1996-04-24,1996-05-31,1996-05-12,NONE,FOB,blithely final special slyly final final
879,393,96,3,21.32,4762.28,0.05,0.02,N,F,1996-05-19,1996-06-13,1996-06-09,TAKE BACK RETURN,REG AIR,blithely silent slyly silent furiously
880,477,63,1,37.53,2240.27,0.08,0.03,N,F,1994-09-03,1994-10-28,1994-10-02,COLLECT COD,REG AIR,carefully silent special quickly regular car
880,21,94,2,11.28,4160.94,0.06,0.01,N,F,1994-08-08,1994-10-04,1994-08-19,DELIVER IN PERSON,MAIL,regular regular slyly express quickly blithe
880,360,97,3,16.69,2256.55,0.08,0.05,N,F,1994-08-22,1994-09-02,1994-09-04,COLLECT COD,RAIL,special express silent
881,158,34,1,15.55,4810.34,0.02,0.06,R,F,1994-05-13,1994-05-17,1994-06-09,NONE,SHIP,unusual unusual blithely final final regular
881,435,50,2,38.45,2526.98,0.06,0.04,R,F,1994-03-17,1994-05-01,1994-04-14,DELIVER IN PERSON,TRUCK,final pending express
881,306,81,3,37.14,3856.75,0.0,0.06,N,F,1994-03-22,1994-04-29,1994-03-23,NONE,SHIP,silent pending blithely blithely regular sly
882,143,78,1,36.34,3048.42,0.01,0.03,N,F,1994-04-09,1994-06-11,1994-04-10,NONE,RAIL,unusual silent blithely carefully furiously 
882,6,81,2,49.9,3208.27,0.0,0.03,N,F,1994-04-01,1994-06-12,1994-04-09,COLLECT COD,REG AIR,carefully unusual blithely pending
882,123,48,3,11.38,1652.39,0.07,0.08,A,F,1994-04-16,1994-05-30,1994-04-18,COLLECT COD,REG AIR,express blithely furiously quickly blithely 
883,438,2,1,26.11,1345.44,0.1,0.02,R,F,1994-06-20,1994-06-26,1994-06-21,TAKE BACK RETURN,FOB,unusual blithely regular silent furiously fi
883,159,65,2,47.16,2971.74,0.08,0.02,N,F,1994-06-18,1994-08-11,1994-07-15,DELIVER IN PERSON,RAIL,special carefully carefully furiously specia
883,153,83,3,3.74,1104.57,0.06,0.0,R,F,1994-06-11,1994-08-11,1994-06-18,NONE,TRUCK,slyly carefully unusual
884,155,28,1,44.28,4331.95,0.05,0.0,R,F,1998-02-02,1998-02-15,1998-02-26,COLLECT COD,REG AIR,regular silent furiously furiously final
884,182,90,2,33.68,1233.32,0.08,0.01,N,F,1998-01-27,1998-02-28,1998-02-10,COLLECT COD,REG AIR,regular express carefully express furiously 
884,364,1,3,4.38,4660.05,0.09,0.06,N,F,1998-01-30,1998-03-05,1998-02-17,DELIVER IN PERSON,FOB,silent express carefully express furiously q
885,300,98,1,35.86,4385.99,0.07,0.07,R,F,1996-11-01,1996-11-08,1996-11-05,TAKE BACK RETURN,MAIL,final slyly pending carefully special regula
885,17,10,2,10.91,3690.22,0.06,0.07,A,F,1996-10-29,1996-10-30,1996-11-19,NONE,REG AIR,slyly silent pending
885,387,27,3,39.96,189.68,0.09,0.05,A,F,1996-11-01,1996-12-01,1996-11-19,NONE,RAIL,blithely unusual regular unusual
886,389,87,1,48.09,4168.93,0.08,0.03,A,F,1994-05-15,1994-05-30,1994-06-11,NONE,RAIL,quickly regular pending special special regu
886,286,65,2,30.4,1096.95,0.02,0.02,A,F,1994-05-17,1994-04-27,1994-05-21,COLLECT COD,RAIL,furiously regular carefully slyly pending si
886,141,70,3,25.23,2941.14,0.0,0.01,A,F,1994-04-01,1994-05-28,1994-04-29,NONE,TRUCK,special quickly unusual slyly furiously regu
887,477,81,1,17.96,306.58,0.08,0.05,A,F,1998-02-11,1998-04-12,1998-03-05,DELIVER IN PERSON,REG AIR,regular furiously quickly
887,351,59,2,27.61,1869.6,0.01,0.06,N,F,1998-03-30,1998-03-02,1998-04-19,COLLECT COD,MAIL,special silent final furiously special pendi
887,453,90,3,49.85,3753.41,0.08,0.02,R,F,1998-02-19,1998-03-16,1998-03-09,COLLECT COD,MAIL,quickly special slyly furiously
888,227,73,1,16.37,4249.6,0.03,0.05,A,F,1998-09-24,1998-10-21,1998-10-22,COLLECT COD,MAIL,slyly furiously special regular regular
888,313,10,2,23.78,1481.18,0.05,0.05,R,F,1998-10-30,1998-12-19,1998-11-05,COLLECT COD,RAIL,carefully blithely regular
888,238,93,3,37.88,193.25,0.04,0.06,A,F,1998-10-23,1998-11-29,1998-11-05,COLLECT COD,RAIL,silent slyly quickly silent
889,362,77,1,27.26,3973.98,0.01,0.08,A,F,1994-01-30,1994-02-03,1994-02-21,NONE,AIR,final furiously special
889,251,2,2,12.94,245.0,0.05,0.02,R,F,1994-01-17,1994-02-18,1994-01-28,DELIVER IN PERSON,AIR,special quickly furiously blithely blithely 
889,450,15,3,43.0,596.01,0.07,0.03,N,F,1994-01-07,1994-02-22,1994-01-16,DELIVER IN PERSON,RAIL,special carefully slyly carefully
890,326,86,1,35.9,3962.71,0.0,0.0,R,F,1995-03-17,1995-05-08,1995-04-04,COLLECT COD,TRUCK,unusual slyly silent final pending
890,58,27,2,13.26,2395.16,0.03,0.07,R,F,1995-04-19,1995-04-09,1995-05-17,COLLECT COD,MAIL,final furiously unusual pending pending fina
890,4,98,3,16.66,3807.56,0.07,0.03,R,F,1995-04-14,1995-04-09,1995-04-17,DELIVER IN PERSON,SHIP,blithely final unusual express slyly blithel
891,170,18,1,24.77,1354.46,0.1,0.01,N,F,1997-02-04,1997-03-28,1997-02-08,NONE,REG AIR,final silent quickly pending silent special
891,166,34,2,42.38,340.55,0.03,0.06,R,F,1997-01-30,1997-03-02,1997-02-23,COLLECT COD,AIR,blithely silent final
891,219,52,3,4.62,4377.27,0.01,0.04,R,F,1997-02-22,1997-02-25,1997-03-22,DELIVER IN PERSON,RAIL,blithely slyly blithely special final
892,59,53,1,10.57,3135.09,0.09,0.05,A,F,1996-09-07,1996-09-07,1996-09-17,DELIVER IN PERSON,RAIL,furiously express silent quickly silent slyl
892,407,48,2,31.55,3151.45,0.06,0.04,N,F,1996-08-15,1996-10-20,1996-09-06,DELIVER IN PERSON,REG AIR,pending furiously silent regular express
892,82,15,3,8.91,3926.92,0.1,0.06,A,F,1996-09-08,1996-09-03,1996-10-04,DELIVER IN PERSON,TRUCK,express unusual unusual
893,262,38,1,10.42,4399.11,0.01,0.04,N,F,1996-10-02,1996-11-01,1996-10-03,DELIVER IN PERSON,MAIL,express blithely blithely blithely unusual u
893,454,49,2,37.23,4546.14,0.04,0.04,N,F,1996-10-22,1996-11-22,1996-10-24,TAKE BACK RETURN,MAIL,special quickly slyly
893,212,63,3,43.24,2121.44,0.02,0.02,N,F,1996-10-30,1996-11-01,1996-11-11,COLLECT COD,RAIL,furiously slyly carefully quickly
894,388,64,1,18.53,456.46,0.08,0.05,R,F,1997-01-31,1997-02-23,1997-02-08,COLLECT COD,SHIP,special slyly quickly pending quickly specia
894,415,73,2,49.97,2394.95,0.07,0.01,R,F,1997-02-14,1997-03-06,1997-03-03,TAKE BACK RETURN,RAIL,furiously pending blithely final silent furi
894,224,16,3,8.57,3585.08,0.05,0.06,A,F,1997-01-10,1997-03-08,1997-01-19,DELIVER IN PERSON,AIR,final express furiously quickly quickly quic
895,402,13,1,48.07,3118.09,0.04,0.04,A,F,1998-10-16,1998-10-20,1998-10-27,COLLECT COD,AIR,final special regular carefully
895,490,39,2,42.68,4647.89,0.01,0.01,N,F,1998-09-20,1998-10-30,1998-10-20,NONE,MAIL,express furiously express regular express sl
895,35,82,3,9.71,375.15,0.05,0.01,N,F,1998-09-24,1998-10-09,1998-09-29,NONE,RAIL,silent pending slyly unusual
896,414,24,1,42.09,864.92,0.07,0.08,A,F,1993-12-14,1994-01-28,1994-01-01,COLLECT COD,AIR,pending quickly silent quickly carefully fur
896,169,65,2,11.58,528.94,0.07,0.02,A,F,1994-01-16,1994-02-05,1994-01-28,DELIVER IN PERSON,MAIL,furiously special regular pending furiously
896,275,12,3,14.12,2720.59,0.03,0.08,A,F,1993-12-17,1994-02-15,1994-01-11,NONE,SHIP,pending regular pending carefully quickly ex
897,77,58,1,35.39,1488.31,0.07,0.0,N,F,1997-08-03,1997-07-25,1997-08-11,DELIVER IN PERSON,RAIL,special silent pending
897,55,13,2,25.01,1570.14,0.03,0.07,A,F,1997-07-27,1997-09-01,1997-08-18,COLLECT COD,RAIL,silent final pending carefully carefully
897,66,6,3,25.48,1285.64,0.08,0.06,A,F,1997-06-26,1997-08-31,1997-06-29,COLLECT COD,TRUCK,pending express furiously furiously slyly re
898,281,44,1,43.82,4900.11,0.08,0.06,N,F,1997-08-22,1997-09-27,1997-09-01,NONE,AIR,pending final quickly carefully carefully si
898,258,55,2,28.39,4947.95,0.03,0.01,R,F,1997-08-14,1997-09-07,1997-09-12,TAKE BACK RETURN,RAIL,furiously regular furiously furiously final 
898,430,35,3,5.5,2384.25,0.05,0.02,R,F,1997-07-30,1997-08-22,1997-08-02,TAKE BACK RETURN,SHIP,silent silent special
899,429,96,1,44.25,999.58,0.09,0.02,R,F,1997-04-04,1997-06-13,1997-04-14,COLLECT COD,AIR,unusual quickly blithely special special pen
899,108,51,2,9.92,4612.04,0.09,0.03,N,F,1997-05-18,1997-05-17,1997-05-22,COLLECT COD,TRUCK,blithely special silent
899,495,94,3,25.57,1367.57,0.04,0.03,R,F,1997-05-13,1997-05-11,1997-05-28,COLLECT COD,TRUCK,final pending final blithely unusual careful
900,443,92,1,10.51,3211.48,0.04,0.02,A,F,1993-04-07,1993-04-14,1993-04-28,NONE,SHIP,unusual silent furiously blithely express sp
900,148,75,2,48.57,2026.18,0.1,0.04,A,F,1993-02-18,1993-04-01,1993-03-01,TAKE BACK RETURN,TRUCK,slyly regular carefully slyly
900,160,61,3,32.66,4565.24,0.01,0.05,R,F,1993-03-01,1993-03-23,1993-03-10,NONE,SHIP,final silent blithely unusual unusual
901,268,95,1,43.25,3731.65,0.05,0.01,R,F,1996-02-22,1996-04-12,1996-03-08,DELIVER IN PERSON,SHIP,regular regular furiously express
901,13,88,2,14.96,1946.78,0.03,0.04,A,F,1996-02-21,1996-03-17,1996-02-25,COLLECT COD,RAIL,silent furiously final
901,383,44,3,8.29,4441.16,0.02,0.01,N,F,1996-02-01,1996-04-09,1996-02-07,DELIVER IN PERSON,FOB,pending silent silent
902,455,40,1,39.54,1305.82,0.02,0.01,N,F,1997-04-02,1997-04-20,1997-04-18,NONE,MAIL,furiously quickly quickly pending regular qu
902,319,83,2,3.54,4013.65,0.09,0.07,R,F,1997-03-04,1997-03-07,1997-03-26,COLLECT COD,RAIL,blithely carefully silent slyly
902,209,95,3,17.62,407.78,0.03,0.07,A,F,1997-04-03,1997-03-17,1997-04-17,TAKE BACK RETURN,MAIL,final carefully special express final specia
903,152,64,1,21.32,385.53,0.1,0.02,R,F,1996-03-19,1996-03-02,1996-04-03,NONE,AIR,special carefully silent carefully special q
903,242,56,2,26.29,3815.85,0.03,0.07,A,F,1996-03-10,1996-04-14,1996-03-15,NONE,SHIP,unusual silent silent silent
903,158,53,3,27.78,124.56,0.02,0.0,A,F,1996-03-11,1996-03-29,1996-03-25,TAKE BACK RETURN,AIR,special carefully quickly final
904,483,85,1,6.99,4232.55,0.05,0.02,N,F,1995-09-30,1995-11-04,1995-10-08,TAKE BACK RETURN,TRUCK,regular unusual quickly slyly
904,263,48,2,24.4,1217.72,0.06,0.03,N,F,1995-09-16,1995-09-13,1995-09-23,NONE,RAIL,slyly unusual pending final furiously pendin
904,319,65,3,14.77,610.01,0.01,0.01,R,F,1995-09-27,1995-09-16,1995-10-08,COLLECT COD,REG AIR,regular silent quickly slyly unusual
905,89,5,1,38.92,111.28,0.06,0.06,A,F,1997-01-17,1997-02-27,1997-02-07,DELIVER IN PERSON,TRUCK,regular silent express slyly unusual slyly s
905,250,59,2,9.86,1103.95,0.05,0.0,R,F,1996-12-31,1997-01-11,1997-01-04,NONE,SHIP,final regular regular furiously pending unus
905,32,18,3,9.0,114.72,0.05,0.05,N,F,1997-01-13,1997-01-12,1997-01-24,NONE,REG AIR,express furiously pending blithely regular s
906,358,30,1,13.95,1918.48,0.08,0.07,R,F,1993-09-20,1993-09-05,1993-09-22,NONE,RAIL,unusual final unusual furiously
906,59,65,2,9.35,1180.43,0.01,0.04,N,F,1993-08-21,1993-09-01,1993-09-10,TAKE BACK RETURN,FOB,silent blithely slyly express furiously expr
906,127,29,3,17.86,4509.3,0.02,0.01,R,F,1993-08-20,1993-08-27,1993-08-25,COLLECT COD,AIR,express final quickly furiously regular sile
907,235,70,1,49.19,4551.8,0.06,0.04,A,F,1998-03-23,1998-03-14,1998-03-27,TAKE BACK RETURN,RAIL,blithely unusual slyly unusual blithely sile
907,452,77,2,29.73,1713.51,0.05,0.0,A,F,1998-01-29,1998-03-09,1998-02-27,COLLECT COD,TRUCK,express furiously pending
907,426,34,3,46.66,2691.57,0.01,0.07,N,F,1998-03-21,1998-04-24,1998-04-16,COLLECT COD,MAIL,unusual regular carefully
908,101,63,1,37.64,647.44,0.09,0.01,N,F,1996-03-13,1996-03-28,1996-04-08,NONE,REG AIR,quickly furiously quickly unusual special sl
908,430,6,2,37.21,224.55,0.1,0.06,R,F,1996-04-05,1996-04-28,1996-04-18,DELIVER IN PERSON,TRUCK,quickly special blithely express quickly sil
908,156,83,3,26.12,442.66,0.09,0.06,R,F,1996-02-27,1996-03-17,1996-03-11,NONE,AIR,silent slyly special
909,270,12,1,4.63,1220.43,0.02,0.03,R,F,1996-11-07,1996-10-25,1996-11-27,DELIVER IN PERSON,AIR,unusual pending carefully blithely slyly unu
909,436,52,2,12.87,4466.65,0.05,0.08,R,F,1996-11-03,1996-12-06,1996-11-17,NONE,REG AIR,pending blithely carefully silent regular qu
909,86,57,3,34.03,4549.37,0.04,0.06,A,F,1996-09-27,1996-10-14,1996-10-15,COLLECT COD,FOB,quickly unusual express slyly special
910,485,9,1,25.11,2472.24,0.05,0.06,N,F,1997-11-15,1997-11-10,1997-11-21,DELIVER IN PERSON,MAIL,blithely express express express
910,56,34,2,29.74,121.62,0.01,0.07,N,F,1997-11-06,1997-10-27,1997-11-13,COLLECT COD,AIR,unusual blithely pending
910,345,65,3,11.97,1615.83,0.04,0.08,R,F,1997-10-21,1997-11-20,1997-11-04,DELIVER IN PERSON,SHIP,special regular express special carefully sl
911,119,7,1,1.62,771.84,0.05,0.08,R,F,1994-10-04,1994-11-21,1994-10-26,NONE,REG AIR,express slyly quickly regular quickly
911,418,22,2,41.07,3422.96,0.01,0.04,N,F,1994-09-29,1994-11-30,1994-10-15,NONE,AIR,furiously special special
911,169,56,3,26.99,4526.03,0.09,0.04,A,F,1994-09-20,1994-10-30,1994-10-14,NONE,SHIP,express pending carefully quickly pending fi
912,222,25,1,42.81,2421.13,0.01,0.07,A,F,1996-08-15,1996-10-17,1996-08-18,COLLECT COD,REG AIR,final final furiously blithely silent expres
912,13,5,2,4.79,1907.82,0.03,0.03,A,F,1996-08-14,1996-09-17,1996-08-26,COLLECT COD,RAIL,silent silent silent special special slyly s
912,438,67,3,25.21,3252.68,0.01,0.08,A,F,1996-09-21,1996-10-07,1996-10-19,DELIVER IN PERSON,RAIL,carefully slyly slyly blithely slyly final s
913,147,19,1,20.27,4798.9,0.07,0.04,N,F,1998-02-15,1998-03-13,1998-02-17,DELIVER IN PERSON,MAIL,pending express unusual blithely slyly
913,20,93,2,21.49,3547.96,0.03,0.03,R,F,1998-03-18,1998-04-17,1998-04-03,TAKE BACK RETURN,SHIP,regular special carefully carefully blithely
913,304,38,3,28.32,2452.34,0.04,0.02,N,F,1998-03-04,1998-03-17,1998-03-11,DELIVER IN PERSON,SHIP,pending carefully special silent
914,148,82,1,43.31,2441.4,0.03,0.02,A,F,1997-12-30,1998-01-27,1998-01-03,TAKE BACK RETURN,FOB,slyly slyly furiously final special quickly
914,73,13,2,26.07,4733.37,0.09,0.05,A,F,1997-12-04,1997-12-30,1997-12-23,DELIVER IN PERSON,AIR,regular slyly unusual
914,210,12,3,28.04,3090.07,0.05,0.02,R,F,1997-11-26,1998-02-03,1997-12-22,DELIVER IN PERSON,MAIL,furiously unusual express blithely
915,2,82,1,21.46,3787.28,0.03,0.01,R,F,1997-10-01,1997-10-03,1997-10-29,NONE,SHIP,slyly blithely final slyly regular quickly
915,465,12,2,3.09,3560.18,0.0,0.01,R,F,1997-10-11,1997-09-27,1997-11-03,DELIVER IN PERSON,MAIL,pending furiously pending final
915,157,29,3,10.74,2520.49,0.09,0.03,A,F,1997-10-15,1997-10-19,1997-11-07,TAKE BACK RETURN,TRUCK,final carefully quickly quickly
916,143,89,1,47.4,4101.94,0.02,0.03,R,F,1998-08-08,1998-09-03,1998-09-01,TAKE BACK RETURN,FOB,slyly silent silent
916,41,1,2,18.14,568.79,0.06,0.06,R,F,1998-06-26,1998-08-30,1998-07-24,DELIVER IN PERSON,RAIL,unusual quickly silent blithely final
916,339,9,3,38.91,3252.53,0.02,0.07,R,F,1998-06-25,1998-09-04,1998-07-15,COLLECT COD,FOB,unusual pending express blithely special
917,337,59,1,39.91,2951.42,0.09,0.05,N,F,1996-07-26,1996-09-01,1996-08-18,TAKE BACK RETURN,FOB,blithely unusual silent blithely unusual
917,271,80,2,32.86,2929.26,0.05,0.01,N,F,1996-08-23,1996-09-02,1996-09-05,COLLECT COD,REG AIR,special express final
917,496,22,3,37.23,3128.72,0.03,0.06,R,F,1996-07-20,1996-09-29,1996-08-07,COLLECT COD,MAIL,final slyly final slyly carefully
918,10,22,1,49.38,2972.03,0.02,0.03,N,F,1997-07-28,1997-07-06,1997-08-01,COLLECT COD,AIR,express blithely carefully
918,107,40,2,49.07,574.41,0.05,0.0,R,F,1997-07-17,1997-08-11,1997-08-02,COLLECT COD,RAIL,regular blithely silent express express slyl
918,140,20,3,3.12,2763.78,0.08,0.06,N,F,1997-07-20,1997-07-22,1997-08-05,TAKE BACK RETURN,MAIL,carefully carefully unusual carefully specia
919,259,61,1,40.71,162.72,0.1,0.03,R,F,1995-03-26,1995-05-31,1995-04-13,COLLECT COD,TRUCK,quickly carefully quickly quickly unusual un
919,5,91,2,39.22,4109.33,0.05,0.08,N,F,1995-05-03,1995-04-23,1995-06-01,TAKE BACK RETURN,AIR,unusual unusual quickly final quickly quickl
919,332,97,3,7.51,2548.47,0.03,0.07,R,F,1995-04-01,1995-05-28,1995-04-05,COLLECT COD,MAIL,regular quickly quickly blithely
920,380,9,1,7.8,2951.17,0.04,0.06,N,F,1997-04-25,1997-04-07,1997-05-12,DELIVER IN PERSON,AIR,furiously slyly special regular blithely sly
920,193,26,2,41.99,213.08,0.05,0.08,N,F,1997-03-08,1997-05-05,1997-04-04,NONE,SHIP,quickly regular unusual final
920,343,89,3,13.63,318.17,0.1,0.06,N,F,1997-04-29,1997-05-11,1997-05-28,COLLECT COD,REG AIR,quickly blithely carefully carefully
921,166,35,1,25.45,538.18,0.09,0.04,A,F,1993-04-28,1993-04-23,1993-05-25,TAKE BACK RETURN,AIR,silent furiously furiously slyly slyly
921,354,49,2,26.24,936.21,0.07,0.04,R,F,1993-05-09,1993-05-13,1993-05-13,TAKE BACK RETURN,REG AIR,carefully pending carefully
921,216,8,3,20.38,4756.77,0.02,0.08,R,F,1993-05-23,1993-06-08,1993-06-08,NONE,AIR,final carefully pending express pending
922,396,66,1,4.15,3584.32,0.01,0.0,N,F,1994-10-06,1994-12-10,1994-10-10,DELIVER IN PERSON,AIR,blithely carefully carefully
