o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
572,653,F,6873.06,1996-04-26,3-MEDIUM,Clerk#000000583,1,final blithely express
573,186,P,10178.45,1993-01-11,3-MEDIUM,Clerk#000000829,1,quickly blithely pending pending regular
574,14,F,6054.71,1993-06-30,1-URGENT,Clerk#000000217,1,unusual silent regular pending slyly
575,917,P,2547.77,1995-09-12,2-HIGH,Clerk#000000089,1,final final silent blithely silent final slyly regular
576,302,P,9801.63,1994-02-08,5-LOW,Clerk#000000499,0,regular unusual blithely silent
577,328,O,10742.24,1997-05-09,4-NOT SPECIFIED,Clerk#000000559,1,express express express blithely
578,141,F,3562.8,1997-04-14,5-LOW,Clerk#000000081,0,blithely pending furiously regular pending special
579,387,O,7607.31,1996-03-11,1-URGENT,Clerk#000000531,1,silent quickly final carefully silent slyly
580,612,F,9332.05,1995-04-26,4-NOT SPECIFIED,Clerk#000000453,1,quickly regular regular unusual blithely slyly silent
581,342,F,6139.43,1993-06-10,4-NOT SPECIFIED,Clerk#000000408,0,silent silent regular
582,505,F,5141.43,1993-05-11,1-URGENT,Clerk#000000086,0,quickly final quickly regular
583,349,O,11965.33,1993-09-11,3-MEDIUM,Clerk#000000602,0,slyly slyly carefully pending blithely final
584,776,P,6726.95,1993-04-07,1-URGENT,Clerk#000000854,1,furiously final unusual
585,884,P,9281.85,1994-09-21,5-LOW,Clerk#000000173,1,carefully pending slyly quickly unusual quickly regular
586,813,P,13517.89,1995-09-06,4-NOT SPECIFIED,Clerk#000000682,1,slyly regular pending
587,220,O,4235.88,1994-12-11,3-MEDIUM,Clerk#000000276,0,final blithely carefully
588,695,F,7725.4,1993-05-18,2-HIGH,Clerk#000000006,1,silent carefully quickly silent special unusual
589,175,P,7264.63,1998-04-26,3-MEDIUM,Clerk#000000051,0,regular blithely special regular silent regular slyly special
590,276,P,6029.64,1997-04-05,2-HIGH,Clerk#000000716,0,furiously carefully silent blithely blithely special express
591,865,P,11336.25,1995-01-25,5-LOW,Clerk#000000779,1,express carefully pending pending carefully express silent
592,291,F,4759.92,1994-04-27,5-LOW,Clerk#000000280,0,special quickly special special blithely final silent
593,341,O,11308.67,1995-06-04,3-MEDIUM,Clerk#000000906,0,furiously furiously pending pending furiously
594,143,P,10574.13,1998-10-20,3-MEDIUM,Clerk#000000623,1,express pending final express final express
595,776,P,5909.2,1997-12-10,1-URGENT,Clerk#000000815,1,silent regular express carefully blithely carefully
596,891,O,9072.75,1993-07-19,4-NOT SPECIFIED,Clerk#000000483,1,slyly pending furiously
597,852,O,8250.54,1997-03-05,3-MEDIUM,Clerk#000000345,1,furiously slyly pending pending slyly
598,183,O,7879.15,1997-02-15,2-HIGH,Clerk#000000237,1,final final unusual
599,428,P,10313.11,1995-06-09,5-LOW,Clerk#000000831,1,final special silent blithely unusual carefully unusual regular
600,818,O,9331.81,1998-12-09,3-MEDIUM,Clerk#000000286,1,slyly silent silent slyly final blithely quickly express
601,405,O,8168.84,1996-09-07,2-HIGH,Clerk#000000053,1,furiously furiously silent slyly pending
602,607,P,8402.32,1995-02-19,5-LOW,Clerk#000000464,1,blithely special express carefully
603,968,P,7247.3,1995-09-27,4-NOT SPECIFIED,Clerk#000000500,0,carefully express blithely unusual blithely
604,15,P,2573.64,1996-12-04,3-MEDIUM,Clerk#000000991,0,final regular pending silent express silent unusual furiously
605,584,P,6983.76,1994-09-06,5-LOW,Clerk#000000233,1,carefully silent special furiously silent blithely
606,318,P,8027.79,1996-11-26,4-NOT SPECIFIED,Clerk#000000794,0,pending express furiously silent slyly
607,947,F,7854.57,1998-08-16,5-LOW,Clerk#000000536,0,pending express carefully special special pending carefully special
608,409,P,5819.86,1993-12-01,4-NOT SPECIFIED,Clerk#000000447,0,regular carefully silent
609,411,O,9552.75,1994-09-03,1-URGENT,Clerk#000000857,1,quickly slyly quickly
610,557,P,9018.22,1995-10-18,5-LOW,Clerk#000000664,1,furiously unusual carefully unusual furiously pending silent
611,449,F,9788.34,1996-05-18,3-MEDIUM,Clerk#000000867,0,carefully slyly quickly furiously
612,901,P,5973.44,1997-06-28,5-LOW,Clerk#000000817,1,pending blithely slyly express
613,124,F,9362.03,1994-04-20,3-MEDIUM,Clerk#000000724,1,special slyly blithely unusual slyly unusual furiously furiously
614,936,F,11868.73,1995-02-19,5-LOW,Clerk#000000773,1,final special blithely carefully furiously carefully quickly
615,474,F,8012.7,1995-11-17,4-NOT SPECIFIED,Clerk#000000776,1,regular regular regular blithely silent express special
616,763,P,7181.97,1995-02-12,1-URGENT,Clerk#000000213,0,express carefully pending unusual
617,970,O,10035.81,1994-09-07,1-URGENT,Clerk#000000966,0,unusual slyly furiously slyly pending regular
618,969,O,11937.48,1993-11-04,3-MEDIUM,Clerk#000000544,0,carefully pending blithely final silent
619,902,P,6024.45,1994-02-13,3-MEDIUM,Clerk#000000694,1,blithely unusual special silent silent
620,20,F,4259.99,1996-09-14,3-MEDIUM,Clerk#000000766,1,express furiously express unusual pending unusual express
621,518,O,10258.61,1997-07-03,3-MEDIUM,Clerk#000000200,1,blithely regular silent silent special carefully silent
622,353,P,8975.29,1993-06-26,4-NOT SPECIFIED,Clerk#000000166,1,quickly blithely silent silent slyly pending
623,85,O,4929.3,1994-09-05,1-URGENT,Clerk#000000041,0,quickly carefully final quickly
624,699,P,8690.46,1998-03-26,1-URGENT,Clerk#000000119,1,slyly quickly express special unusual furiously
625,909,F,5132.41,1997-03-18,3-MEDIUM,Clerk#000000376,1,blithely special pending blithely carefully silent special furiously
626,393,O,5480.17,1996-11-26,2-HIGH,Clerk#000000188,0,special carefully express express slyly regular special
627,166,F,8909.9,1997-04-17,2-HIGH,Clerk#000000346,0,quickly unusual silent regular quickly carefully
628,311,O,9278.36,1994-07-15,2-HIGH,Clerk#000000167,1,quickly regular silent regular
629,360,P,3349.29,1997-02-09,2-HIGH,Clerk#000000224,1,blithely quickly furiously blithely
630,641,O,5882.36,1995-06-11,5-LOW,Clerk#000000126,1,quickly quickly pending silent blithely special special
631,463,F,12129.98,1998-08-22,3-MEDIUM,Clerk#000000639,0,furiously unusual special
632,595,F,6226.85,1995-04-11,4-NOT SPECIFIED,Clerk#000000198,1,unusual blithely slyly
633,197,F,8655.92,1996-11-01,3-MEDIUM,Clerk#000000261,1,quickly pending slyly special regular
634,187,P,9361.7,1996-05-02,4-NOT SPECIFIED,Clerk#000000957,1,blithely blithely special unusual express
635,312,O,6710.19,1994-03-30,5-LOW,Clerk#000000073,1,carefully express carefully quickly carefully quickly express
636,435,P,9251.02,1996-07-15,4-NOT SPECIFIED,Clerk#000000701,1,quickly regular slyly final unusual unusual furiously
637,532,O,7558.0,1997-08-20,2-HIGH,Clerk#000000087,0,final blithely regular carefully quickly express slyly silent
638,304,P,5061.53,1997-11-25,3-MEDIUM,Clerk#000000084,0,silent express quickly slyly
639,851,P,5571.59,1995-06-15,4-NOT SPECIFIED,Clerk#000000278,0,blithely pending quickly silent silent slyly silent regular
640,415,P,9584.67,1993-11-19,1-URGENT,Clerk#000000126,1,silent silent slyly regular slyly silent
641,707,O,10355.87,1996-09-25,4-NOT SPECIFIED,Clerk#000000768,0,unusual carefully carefully pending quickly pending
642,484,O,9212.63,1994-07-30,3-MEDIUM,Clerk#000000617,0,furiously blithely silent
643,593,F,6567.03,1995-03-16,2-HIGH,Clerk#000000169,0,carefully regular silent
644,520,P,6621.05,1996-11-05,2-HIGH,Clerk#000000084,0,special regular special quickly special blithely carefully
645,740,P,4318.15,1997-12-27,1-URGENT,Clerk#000000540,0,furiously blithely unusual final pending
646,945,F,7110.54,1998-05-15,1-URGENT,Clerk#000000062,0,carefully special pending slyly express pending
647,359,O,8116.87,1996-09-16,2-HIGH,Clerk#000000352,0,pending pending furiously silent special carefully
648,519,P,8461.15,1996-02-05,2-HIGH,Clerk#000000282,0,regular regular special
649,977,P,5282.28,1997-09-22,3-MEDIUM,Clerk#000000014,1,furiously regular carefully carefully quickly
650,576,F,8871.84,1995-07-27,5-LOW,Clerk#000000850,0,final regular express unusual regular furiously pending express
651,906,O,6804.92,1993-02-16,3-MEDIUM,Clerk#000000701,0,unusual slyly pending regular express unusual
652,260,F,5724.58,1996-11-06,2-HIGH,Clerk#000000676,0,unusual blithely quickly quickly special silent
653,634,F,6381.67,1996-02-22,4-NOT SPECIFIED,Clerk#000000425,1,silent final pending express
654,966,P,6140.38,1993-01-01,4-NOT SPECIFIED,Clerk#000000289,1,carefully blithely final regular express
655,397,O,8354.81,1994-08-12,4-NOT SPECIFIED,Clerk#000000225,0,pending carefully regular slyly
656,77,F,8881.83,1998-01-09,1-URGENT,Clerk#000000516,1,quickly pending final final furiously silent regular
657,19,F,7444.68,1995-06-20,4-NOT SPECIFIED,Clerk#000000370,1,express blithely express
658,206,P,3720.37,1995-03-13,2-HIGH,Clerk#000000773,0,furiously carefully silent special
659,940,O,7622.47,1994-04-30,4-NOT SPECIFIED,Clerk#000000583,1,final furiously special unusual special blithely
660,418,P,7973.84,1995-10-21,2-HIGH,Clerk#000000524,1,carefully regular special carefully carefully
661,472,F,8931.65,1994-02-11,4-NOT SPECIFIED,Clerk#000000633,0,unusual carefully carefully express carefully
662,921,P,13301.94,1998-09-08,3-MEDIUM,Clerk#000000449,1,regular quickly regular unusual express carefully
663,135,O,7259.7,1995-10-23,5-LOW,Clerk#000000517,0,blithely pending slyly
664,957,F,12961.03,1995-04-28,4-NOT SPECIFIED,Clerk#000000621,1,slyly pending pending special slyly
665,296,O,7489.81,1996-09-18,5-LOW,Clerk#000000656,1,quickly final pending final slyly
666,267,P,7591.44,1993-05-24,1-URGENT,Clerk#000000312,0,unusual express pending pending slyly pending
667,615,F,6369.65,1996-08-28,1-URGENT,Clerk#000000258,0,quickly silent regular
668,830,F,9306.37,1997-10-07,5-LOW,Clerk#000000752,0,pending express unusual final
669,454,P,11141.8,1997-11-04,3-MEDIUM,Clerk#000000487,1,express express express
670,517,O,8011.27,1995-12-27,2-HIGH,Clerk#000000437,0,express carefully blithely quickly
671,515,F,9772.23,1998-03-06,1-URGENT,Clerk#000000747,1,regular slyly regular regular pending furiously final
672,88,O,5464.04,1994-07-22,3-MEDIUM,Clerk#000000540,0,pending final regular unusual
673,966,F,11078.52,1994-03-16,4-NOT SPECIFIED,Clerk#000000561,1,slyly regular furiously special slyly
674,401,F,8592.88,1996-12-05,3-MEDIUM,Clerk#000000570,1,slyly regular express express
675,365,P,10223.89,1995-07-17,2-HIGH,Clerk#000000273,0,regular furiously silent blithely regular blithely final
676,433,F,12941.1,1993-12-23,5-LOW,Clerk#000000089,1,carefully slyly special pending slyly silent furiously slyly
677,440,P,9224.72,1995-11-13,4-NOT SPECIFIED,Clerk#000000538,1,slyly furiously slyly quickly silent slyly blithely pending
678,455,F,7028.02,1993-11-27,3-MEDIUM,Clerk#000000016,1,carefully express unusual express slyly carefully regular
679,90,F,11325.9,1997-02-20,5-LOW,Clerk#000000375,0,pending unusual special silent quickly
680,122,F,7303.57,1996-12-09,3-MEDIUM,Clerk#000000225,0,slyly carefully unusual
681,976,F,5188.19,1996-12-04,5-LOW,Clerk#000000551,0,carefully pending pending
682,184,F,8178.09,1995-07-23,5-LOW,Clerk#000000462,1,unusual furiously carefully
683,812,O,6432.65,1996-05-24,3-MEDIUM,Clerk#000000937,0,silent blithely blithely
684,826,F,11442.64,1994-02-28,3-MEDIUM,Clerk#000000695,0,express pending blithely regular blithely quickly
685,612,O,7173.83,1996-10-29,3-MEDIUM,Clerk#000000930,1,pending unusual final unusual
686,349,O,10147.17,1996-12-29,2-HIGH,Clerk#000000166,0,silent special blithely silent special blithely
687,878,O,5882.93,1998-06-28,2-HIGH,Clerk#000000842,0,final quickly blithely furiously quickly unusual
688,519,P,6086.6,1994-08-25,2-HIGH,Clerk#000000626,1,final unusual quickly regular unusual
689,676,O,6953.13,1993-02-10,4-NOT SPECIFIED,Clerk#000000200,1,final express final unusual express carefully regular pending
690,47,P,5861.62,1994-09-17,1-URGENT,Clerk#000000773,1,unusual special express blithely
691,953,O,10472.71,1997-01-03,2-HIGH,Clerk#000000329,1,slyly express carefully silent
692,743,F,5390.92,1994-05-07,5-LOW,Clerk#000000908,0,silent furiously final unusual express final slyly
693,195,F,4651.21,1995-08-30,5-LOW,Clerk#000000041,1,final express final unusual unusual
694,866,P,10347.07,1993-11-27,3-MEDIUM,Clerk#000000056,1,unusual blithely express furiously silent
695,303,F,8552.29,1998-11-05,3-MEDIUM,Clerk#000000233,1,regular carefully slyly blithely carefully pending
696,474,O,4097.2,1998-08-16,4-NOT SPECIFIED,Clerk#000000811,0,furiously furiously pending carefully final slyly
697,876,F,7507.43,1998-04-19,5-LOW,Clerk#000000166,1,quickly silent carefully regular
698,371,P,8179.68,1996-04-11,4-NOT SPECIFIED,Clerk#000000020,0,regular silent pending
699,961,P,9907.71,1993-12-21,4-NOT SPECIFIED,Clerk#000000934,0,slyly pending furiously slyly
700,931,F,10615.32,1996-03-09,3-MEDIUM,Clerk#000000711,0,quickly special quickly regular special silent
701,25,F,6058.24,1997-10-28,2-HIGH,Clerk#000000197,0,slyly express unusual final
702,173,P,6816.82,1995-03-16,1-URGENT,Clerk#000000878,0,silent quickly unusual carefully pending slyly slyly special
703,276,F,9627.61,1997-06-14,4-NOT SPECIFIED,Clerk#000000150,0,carefully silent silent carefully
704,765,P,8894.01,1995-05-25,3-MEDIUM,Clerk#000000354,0,pending regular final quickly silent carefully silent
705,420,P,6995.56,1994-02-01,1-URGENT,Clerk#000000468,1,carefully special furiously final
706,454,F,11793.02,1994-10-30,3-MEDIUM,Clerk#000000954,1,final special blithely carefully carefully unusual carefully quickly
707,918,F,2929.3,1993-10-31,3-MEDIUM,Clerk#000000440,1,quickly unusual regular slyly special pending
708,636,F,9427.27,1993-07-02,1-URGENT,Clerk#000000857,0,quickly pending blithely silent regular
709,857,F,10238.78,1993-11-06,1-URGENT,Clerk#000000369,1,final blithely quickly final slyly quickly special
710,359,O,11600.13,1997-12-05,1-URGENT,Clerk#000000886,0,express blithely final regular pending
711,984,O,6992.88,1994-03-16,2-HIGH,Clerk#000000976,1,express quickly final silent carefully regular final
712,202,P,6432.05,1997-02-14,3-MEDIUM,Clerk#000000623,0,unusual express quickly furiously silent carefully pending
713,945,P,6319.52,1998-12-22,5-LOW,Clerk#000000704,1,final express final carefully carefully
714,570,O,10772.4,1993-03-02,2-HIGH,Clerk#000000992,0,carefully slyly pending
715,878,F,6636.0,1994-08-10,3-MEDIUM,Clerk#000000527,0,furiously furiously blithely regular
716,375,O,10068.01,1996-09-17,2-HIGH,Clerk#000000467,0,regular unusual unusual special special pending furiously carefully
717,887,F,7948.45,1996-12-29,5-LOW,Clerk#000000965,0,regular quickly final regular blithely express carefully
718,57,F,10418.94,1997-12-28,5-LOW,Clerk#000000579,1,carefully furiously slyly
719,81,F,8767.03,1995-06-08,3-MEDIUM,Clerk#000000900,0,final silent pending slyly
720,837,P,7736.99,1997-02-24,4-NOT SPECIFIED,Clerk#000000118,1,final express carefully blithely carefully pending regular quickly
721,888,P,11836.86,1993-11-09,1-URGENT,Clerk#000000871,0,silent silent carefully
722,507,P,2122.1,1998-04-16,3-MEDIUM,Clerk#000000945,1,pending blithely slyly slyly furiously silent
723,447,O,10507.09,1993-11-30,2-HIGH,Clerk#000000618,1,quickly silent slyly unusual unusual unusual silent special
724,295,O,8679.23,1995-12-24,1-URGENT,Clerk#000000499,0,special unusual blithely
725,37,F,8309.94,1995-11-20,1-URGENT,Clerk#000000542,1,express express special express final special quickly
726,352,O,6020.51,1994-11-22,5-LOW,Clerk#000000807,0,regular final furiously special furiously final special
727,810,O,10540.05,1993-09-18,5-LOW,Clerk#000000246,0,regular special carefully special unusual pending furiously
728,94,P,9209.62,1998-09-03,2-HIGH,Clerk#000000771,1,unusual final express slyly quickly unusual carefully furiously
729,832,O,10444.56,1995-05-25,4-NOT SPECIFIED,Clerk#000000842,0,special slyly quickly pending
730,816,P,10539.8,1997-07-26,2-HIGH,Clerk#000000949,1,silent special express final silent slyly slyly
731,482,O,4178.31,1997-07-04,1-URGENT,Clerk#000000051,1,final pending quickly
732,964,O,5577.95,1994-12-22,2-HIGH,Clerk#000000664,0,regular furiously carefully slyly
733,456,F,13322.6,1998-03-21,5-LOW,Clerk#000000869,1,regular carefully express pending special quickly
734,325,O,6383.3,1994-07-05,3-MEDIUM,Clerk#000000484,0,express regular express carefully slyly unusual
735,290,P,6836.23,1995-12-18,2-HIGH,Clerk#000000070,0,blithely regular carefully silent regular carefully special silent
736,860,P,10230.39,1997-09-08,2-HIGH,Clerk#000000149,1,final blithely regular
737,181,P,13063.52,1998-11-10,2-HIGH,Clerk#000000013,1,pending quickly slyly carefully
738,498,F,5415.88,1993-07-15,1-URGENT,Clerk#000000287,0,unusual express slyly quickly express pending quickly
739,877,P,8984.25,1994-05-23,5-LOW,Clerk#000000091,1,quickly blithely quickly carefully blithely express carefully blithely
740,383,P,6302.34,1998-04-03,2-HIGH,Clerk#000000053,1,final carefully regular carefully quickly regular
741,63,O,3265.3,1993-10-21,1-URGENT,Clerk#000000327,1,blithely pending slyly express pending slyly final express
742,10,P,6825.9,1995-02-01,2-HIGH,Clerk#000000265,1,final slyly regular
743,350,O,9875.84,1997-02-02,1-URGENT,Clerk#000000582,1,silent carefully carefully special regular silent
744,216,P,10594.41,1994-11-22,3-MEDIUM,Clerk#000000634,0,silent carefully quickly final pending slyly quickly express
745,58,P,7626.18,1994-02-20,1-URGENT,Clerk#000000055,1,furiously regular slyly special unusual carefully final
746,622,F,9491.03,1995-04-20,1-URGENT,Clerk#000000387,0,quickly regular regular pending slyly unusual
747,780,P,4295.92,1997-03-10,1-URGENT,Clerk#000000503,0,blithely carefully final slyly
748,956,O,10747.42,1998-06-03,1-URGENT,Clerk#000000298,0,silent special quickly regular express quickly silent
749,86,F,11167.85,1998-06-09,4-NOT SPECIFIED,Clerk#000000201,1,blithely unusual pending regular unusual furiously furiously
750,52,F,8023.61,1996-12-13,4-NOT SPECIFIED,Clerk#000000408,0,special slyly carefully final silent regular
751,748,F,10547.54,1996-06-07,5-LOW,Clerk#000000764,0,pending quickly silent slyly quickly
752,525,P,11664.22,1993-11-11,5-LOW,Clerk#000000974,1,express pending silent unusual silent final express slyly
753,82,P,6934.77,1995-12-18,4-NOT SPECIFIED,Clerk#000000508,0,slyly slyly furiously blithely slyly
754,434,F,6282.68,1993-09-11,2-HIGH,Clerk#000000955,0,furiously final slyly carefully
755,203,P,7296.14,1998-07-12,2-HIGH,Clerk#000000707,0,regular furiously pending regular furiously
756,858,F,3741.13,1994-06-12,2-HIGH,Clerk#000000445,0,silent quickly express silent carefully carefully regular blithely
757,585,F,12151.7,1995-05-20,1-URGENT,Clerk#000000787,0,silent pending regular
758,928,P,5598.18,1996-12-31,3-MEDIUM,Clerk#000000995,1,slyly final quickly quickly furiously pending
759,808,P,6119.13,1996-11-04,5-LOW,Clerk#000000774,1,regular express regular
760,733,P,9815.8,1996-10-21,5-LOW,Clerk#000000839,1,unusual pending blithely final pending silent
761,293,P,7073.81,1993-11-29,3-MEDIUM,Clerk#000000028,1,express express unusual express pending unusual furiously blithely
762,323,O,8763.42,1998-05-08,1-URGENT,Clerk#000000298,0,blithely furiously special silent slyly furiously
763,430,F,5637.2,1998-09-24,2-HIGH,Clerk#000000473,0,special blithely special furiously blithely regular
764,350,P,6266.32,1994-03-06,3-MEDIUM,Clerk#000000850,1,final blithely final quickly express carefully unusual
765,240,O,6332.13,1993-01-27,4-NOT SPECIFIED,Clerk#000000544,0,unusual express unusual quickly
766,65,F,7840.72,1994-07-21,3-MEDIUM,Clerk#000000024,1,pending pending quickly
767,750,O,7247.78,1993-09-02,3-MEDIUM,Clerk#000000488,1,slyly slyly silent
768,534,F,7169.59,1993-10-14,3-MEDIUM,Clerk#000000252,1,regular express carefully express silent express furiously unusual
769,657,F,10877.8,1995-12-10,5-LOW,Clerk#000000170,0,silent furiously regular
770,692,O,7136.33,1998-04-18,5-LOW,Clerk#000000165,1,quickly silent regular
771,775,O,13243.23,1998-01-10,5-LOW,Clerk#000000444,1,final slyly regular blithely
772,625,F,6662.33,1995-09-30,1-URGENT,Clerk#000000823,1,pending quickly regular furiously slyly furiously express
773,318,F,7778.35,1996-01-25,5-LOW,Clerk#000000507,1,carefully special unusual special blithely furiously pending final
774,761,O,4645.3,1993-11-21,2-HIGH,Clerk#000000125,0,carefully blithely unusual
775,749,P,5264.79,1997-03-31,2-HIGH,Clerk#000000922,0,regular regular final blithely furiously slyly
776,588,F,8440.22,1996-01-18,1-URGENT,Clerk#000000372,1,blithely blithely carefully
777,375,O,7957.7,1998-10-02,3-MEDIUM,Clerk#000000026,1,blithely express silent express pending regular regular
778,142,P,8914.17,1993-11-07,2-HIGH,Clerk#000000925,1,furiously pending quickly blithely unusual
779,226,O,12144.69,1995-08-25,5-LOW,Clerk#000000502,1,silent slyly slyly blithely blithely final regular
780,371,O,6361.0,1997-02-15,5-LOW,Clerk#000000662,0,silent quickly slyly unusual final unusual blithely slyly
781,626,O,10380.84,1996-10-11,5-LOW,Clerk#000000876,1,furiously silent pending unusual silent
782,395,P,5832.2,1996-09-21,3-MEDIUM,Clerk#000000849,1,slyly blithely pending blithely slyly furiously
783,71,P,5765.77,1998-04-19,2-HIGH,Clerk#000000867,0,pending final pending
784,201,O,13193.84,1997-08-27,2-HIGH,Clerk#000000840,0,quickly final silent express express quickly
785,281,P,10978.45,1995-11-29,2-HIGH,Clerk#000000673,0,slyly quickly pending regular
786,821,O,8371.45,1993-11-08,4-NOT SPECIFIED,Clerk#000000944,1,blithely final express regular pending regular blithely quickly
787,51,O,10015.97,1993-06-14,2-HIGH,Clerk#000000040,1,unusual furiously regular silent
788,311,P,9264.67,1993-03-14,1-URGENT,Clerk#000000373,0,silent regular slyly silent
789,17,O,6420.15,1993-09-01,4-NOT SPECIFIED,Clerk#000000732,0,quickly blithely special final blithely
790,177,P,5830.47,1995-08-27,5-LOW,Clerk#000000032,1,unusual unusual slyly express express final silent final
791,116,F,11623.15,1996-01-25,5-LOW,Clerk#000000763,1,regular slyly carefully express blithely special express
792,96,P,4452.69,1997-08-05,4-NOT SPECIFIED,Clerk#000000105,1,pending pending unusual
793,234,F,6212.1,1993-06-16,1-URGENT,Clerk#000000810,0,final special slyly
794,90,F,10249.73,1996-11-02,4-NOT SPECIFIED,Clerk#000000554,0,unusual unusual silent slyly regular final
795,693,F,12135.44,1993-05-12,3-MEDIUM,Clerk#000000621,0,quickly express slyly silent
796,196,F,8995.91,1998-04-02,3-MEDIUM,Clerk#000000628,0,pending pending final
797,455,O,8303.78,1993-07-10,2-HIGH,Clerk#000000401,0,slyly carefully quickly regular slyly special
798,258,F,10194.26,1993-10-13,1-URGENT,Clerk#000000068,1,blithely slyly regular quickly express silent unusual
799,522,F,8695.53,1994-10-17,2-HIGH,Clerk#000000144,1,final pending special carefully quickly quickly regular
800,100,F,4977.05,1994-12-27,1-URGENT,Clerk#000000088,0,express blithely express final express
801,650,F,10363.79,1997-07-29,2-HIGH,Clerk#000000992,1,quickly slyly unusual
802,142,O,11441.93,1996-05-29,4-NOT SPECIFIED,Clerk#000000075,0,slyly pending blithely
803,519,P,8193.79,1997-12-25,2-HIGH,Clerk#000000221,0,regular carefully silent regular regular slyly pending
804,257,O,8491.93,1996-07-18,1-URGENT,Clerk#000000235,0,special final quickly special pending carefully regular blithely
805,483,O,3650.12,1996-09-28,1-URGENT,Clerk#000000045,1,express carefully final furiously pending silent
806,923,P,8662.48,1998-07-22,1-URGENT,Clerk#000000912,1,furiously special express carefully special blithely furiously
807,188,P,7452.28,1997-01-16,1-URGENT,Clerk#000000155,1,silent final furiously unusual pending furiously pending quickly
808,951,F,1420.71,1997-08-25,5-LOW,Clerk#000000711,1,final final quickly furiously
809,579,F,5338.18,1998-08-18,3-MEDIUM,Clerk#000000746,1,unusual pending slyly
810,842,O,9293.21,1993-02-04,2-HIGH,Clerk#000000400,1,carefully final pending unusual
811,837,O,8115.07,1997-01-31,4-NOT SPECIFIED,Clerk#000000988,0,quickly unusual unusual furiously slyly
812,640,O,8179.35,1996-02-25,2-HIGH,Clerk#000000038,0,slyly pending carefully express slyly pending regular
813,461,F,10815.13,1997-02-14,3-MEDIUM,Clerk#000000321,0,furiously regular blithely express pending final
814,928,P,2002.15,1995-05-04,4-NOT SPECIFIED,Clerk#000000445,0,carefully quickly quickly slyly special
815,795,P,9495.72,1995-07-12,2-HIGH,Clerk#000000162,1,special express express slyly pending final
816,861,P,6342.12,1996-03-19,1-URGENT,Clerk#000000655,0,slyly blithely silent slyly
817,218,O,10103.01,1995-06-14,2-HIGH,Clerk#000000378,1,pending unusual blithely carefully quickly quickly pending
818,415,F,6855.45,1994-06-11,4-NOT SPECIFIED,Clerk#000000843,0,slyly unusual regular pending furiously furiously silent
819,616,P,5447.34,1997-07-14,1-URGENT,Clerk#000000642,0,express quickly special special quickly
820,974,P,11509.59,1993-07-28,1-URGENT,Clerk#000000548,0,carefully carefully blithely final quickly unusual blithely quickly
821,243,O,8178.64,1996-02-03,1-URGENT,Clerk#000000412,1,silent special regular furiously
822,549,P,8175.43,1996-06-10,1-URGENT,Clerk#000000865,0,unusual slyly carefully furiously
823,706,O,8830.85,1995-03-27,3-MEDIUM,Clerk#000000904,0,unusual express carefully special unusual quickly
824,830,P,8804.15,1997-03-26,3-MEDIUM,Clerk#000000513,0,pending final furiously furiously furiously express silent unusual
825,500,P,4557.21,1993-01-06,1-URGENT,Clerk#000000503,1,express final silent
826,939,F,3484.74,1997-03-22,5-LOW,Clerk#000000718,1,quickly unusual special pending final regular
827,712,P,5978.89,1994-12-24,2-HIGH,Clerk#000000425,0,silent express express carefully furiously quickly unusual
828,126,P,7387.48,1994-02-24,1-URGENT,Clerk#000000167,0,quickly regular express
829,137,F,9314.47,1996-07-20,5-LOW,Clerk#000000292,0,slyly express special final
830,281,F,6562.67,1998-12-11,4-NOT SPECIFIED,Clerk#000000309,0,regular special final final
831,54,O,8623.72,1998-03-13,2-HIGH,Clerk#000000500,0,furiously pending quickly quickly
832,74,F,8983.54,1997-02-14,2-HIGH,Clerk#000000604,0,furiously unusual regular express blithely express
833,799,P,6349.14,1995-10-18,3-MEDIUM,Clerk#000000485,1,express express special
834,21,F,8093.21,1996-09-08,5-LOW,Clerk#000000631,0,carefully quickly silent quickly
835,34,F,7137.47,1997-12-19,2-HIGH,Clerk#000000661,0,quickly slyly quickly silent final unusual
836,999,F,10682.33,1997-10-21,3-MEDIUM,Clerk#000000916,0,quickly regular quickly pending final slyly silent
837,998,F,8687.23,1996-11-05,5-LOW,Clerk#000000623,1,carefully furiously carefully
838,976,O,8506.19,1993-05-05,5-LOW,Clerk#000000447,0,furiously silent silent silent quickly express express
839,279,P,7666.82,1994-06-21,1-URGENT,Clerk#000000384,1,express regular special unusual silent
840,818,O,8907.56,1998-07-29,3-MEDIUM,Clerk#000000146,1,slyly final quickly express express unusual express
841,83,F,6084.22,1993-03-16,2-HIGH,Clerk#000000307,0,carefully regular quickly quickly final
842,481,O,5251.37,1994-11-21,5-LOW,Clerk#000000225,0,unusual final carefully pending furiously silent furiously
843,741,P,7983.95,1994-10-05,4-NOT SPECIFIED,Clerk#000000494,1,slyly blithely final furiously express unusual silent regular
844,532,O,9738.15,1995-04-16,1-URGENT,Clerk#000000576,1,unusual pending furiously
845,238,F,6902.53,1994-05-09,2-HIGH,Clerk#000000336,1,carefully pending final regular
846,292,O,10147.84,1997-07-04,2-HIGH,Clerk#000000678,1,pending special pending quickly final
847,84,F,8115.29,1995-09-08,5-LOW,Clerk#000000750,1,pending pending unusual quickly
